tema,artista,album,albumId,cover
Wanted Dead or Alive,Bon Jovi,Slippery When Wet,1422954626,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/40/16/3e/40163e24-6985-b785-d4ea-cbae07d74812/06UMGIM05422.rgb.jpg/300x300bb.jpg
You Give Love a Bad Name,Bon Jovi,Slippery When Wet,1422954626,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/40/16/3e/40163e24-6985-b785-d4ea-cbae07d74812/06UMGIM05422.rgb.jpg/300x300bb.jpg
...Baby One More Time,Britney Spears,...Baby One More Time,268284599,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a3/78/83/a3788355-9932-b0b0-8314-f0717a13b8a6/888880333476.jpg/300x300bb.jpg
Toxic,Britney Spears,USA Anthems,1744617809,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/18/1d/66/181d6698-e946-b498-326c-be39e68140c3/196872078329.jpg/300x300bb.jpg
Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,573962245,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e0/a4/7c/e0a47c6f-005a-9f9f-ce29-8e858e2bcfcb/075679957283.jpg/300x300bb.jpg
Treasure,Bruno Mars,Play Date - Confidence Boost,1578960927,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/36/9b/b0/369bb07c-fd9d-3329-4289-e5f02a761072/5059460089341.jpg/300x300bb.jpg
(Everything I Do) I Do It for You,Bryan Adams,Waking Up the Neighbours,1440756670,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/b0/f7/5d/b0f75dab-7e01-d4c6-61c3-e6253a2cae22/06UMGIM18645.rgb.jpg/300x300bb.jpg
Heaven,Bryan Adams,80's Rock Power Ballads,1615677206,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/17/89/a7/1789a75d-28ce-0485-49c9-0a273776c745/22UMGIM30965.rgb.jpg/300x300bb.jpg
Summer of '69,Bryan Adams,Reckless,1676125918,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/67/10/6b/67106b63-8edc-ef66-78f2-ad85b275074f/06UMGIM28735.rgb.jpg/300x300bb.jpg
El cuarto de Tula,Buena Vista Social Club,Buena Vista Social Club,1716598034,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/5a/93/8b/5a938b3e-a74d-9c8b-dcf1-c9c1f83498da/4050538455618.jpg/300x300bb.jpg
